request_timestamp;start_type;s_adress_name;s_hafas_id;s_longitude;s_latitude;ziel_type;z_adress_name;z_hafas_id;z_longitude;z_latitude;s_gem;z_gem;log_timestamp;diff_time
2024-04-30 07:00:00.000000000;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;Dreieich;Frankfurt am Main;2024-05-01 05:29:06.000000000;-1363
2024-04-30 07:00:00.000000000;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;Dreieich;Frankfurt am Main;2024-05-01 00:34:05.000000000;-1054
2024-04-30 07:59:00.000000000;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;Dreieich;Frankfurt am Main;2024-05-01 00:34:05.000000000;-1054
2024-04-30 07:59:00.000000000;STA;Dreieich-Buchschlag Bahnhof;3002702;866.134;50.022.004;STA;Frankfurt (Main) Freiligrathstraße;3001516;8.710.215;50.122.215;Dreieich;Frankfurt am Main;2024-05-01 01:11:21.000000000;-1032
2024-04-30 07:59:00.000000000;STA;Darmstadt Bessunger Straße;3024076;864.694;49.857.735;STA;Ffm Hauptbahnhof;3000010;8.663.758;50.107.158;Darmstadt;Frankfurt am Main;2024-05-01 01:11:25.000000000;-1032
2024-04-30 07:59:00.000000000;STA;Mainz Hauptbahnhof;3006904;8.258.983;50.001.859;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;Mainz;Frankfurt am Main;2024-05-01 01:11:20.000000000;-1032
2024-04-30 08:05:00.000000000;STA;Darmstadt Bessunger Straße;3024076;864.694;49.857.735;STA;Ffm Hauptbahnhof;3000010;8.663.758;50.107.158;Darmstadt;Frankfurt am Main;2024-05-01 01:11:25.000000000;-1032
2024-04-30 08:10:00.000000000;STA;Darmstadt Bessunger Straße;3024076;864.694;49.857.735;STA;Ffm Hauptbahnhof;3000010;8.663.758;50.107.158;Darmstadt;Frankfurt am Main;2024-05-01 01:05:16.000000000;-1020
2024-04-30 08:30:00.000000000;STA;Mainz Hauptbahnhof;3006904;8.258.983;50.001.859;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;Mainz;Frankfurt am Main;2024-05-01 07:30:11.000000000;-1400
2024-04-30 08:30:00.000000000;STA;Mainz Hauptbahnhof;3006904;8.258.983;50.001.859;STA;Frankfurt (Main) Parlamentsplatz;3001520;8.712.453;50.119.608;Mainz;Frankfurt am Main;2024-05-01 00:53:43.000000000;-983
2024-04-30 08:42:00.000000000;STA;Darmstadt Bessunger Straße;3024076;864.694;49.857.735;STA;Ffm Hauptbahnhof;3000010;8.663.758;50.107.158;Darmstadt;Frankfurt am Main;2024-05-01 00:53:43.000000000;-983
2024-04-30 08:42:00.000000000;STA;Frankfurt (Main) Rheinlandstraße;3001905;8.581.103;50.082.492;STA;Frankfurt (Main) Rauenthaler Weg;3001923;8.570.882;50.084.173;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:42:44.000000000;-1020
2024-04-30 08:45:00.000000000;STA;Frankfurt (Main) Rheinlandstraße;3001905;8.581.103;50.082.492;STA;Frankfurt (Main) Rauenthaler Weg;3001923;8.570.882;50.084.173;Frankfurt am Main;Frankfurt am Main;2024-05-01 01:42:44.000000000;-1020
