haltestelle;gps_x;gps_y;anfragen_durchschnittsmonat
Heusenstamm Bahnhof;8.801568;50.059984;35000
Frankfurt (Main) Eissporthalle/Festplatz;8.717271;50.123792;34700
Frankfurt (Main) Flughafen Fernbahnhof;8.570139;50.053132;34600
Frankfurt (Main) Musterschule;8.686279;50.122107;33800
Frankfurt (Main) Zeilweg;8.64282;50.164448;33700
Kriftel Bahnhof;8.475583;50.082315;33600
Frankfurt (Main) Schweizer Platz;8.680137;50.102351;33300
Maintal-Ost Bahnhof;8.835813;50.14165;33200
Frankfurt (Main) Sindlingen Bahnhof;8.511567;50.087588;33000
Frankfurt (Main) Markus-Krankenhaus;8.645814;50.136574;32700
Frankfurt (Main) Leonardo-da-Vinci-Allee;8.62731;50.113516;31100
Frankfurt (Main) Riedberg;8.634485;50.179185;30800
Bad Soden (Taunus) Bahnhof;8.503798;50.143042;30600
Frankfurt (Main) Grüneburgweg;8.675611;50.121652;30500
Wiesbaden-Mainz-Kastel Bahnhof;8.282667;50.007113;29900
Offenbach (Main)-Bieber Bieber Bahnhof;8.80805;50.090857;28800
Mainz-Bischofsheim Bahnhof;8.357912;49.993056;28700
Frankfurt (Main) Westend;8.662932;50.118101;28100
Frankfurt (Main) Marbachweg/Sozialzentrum;8.684642;50.142242;28000
Frankfurt (Main) Habsburgerallee;8.708382;50.117369;27800
Frankfurt (Main) Bürostadt Niederrad;8.627793;50.078048;27300
Rödermark-Ober-Roden Bahnhof;8.829379;49.97376;27300
Frankfurt (Main) Universitätsklinikum;8.660335;50.096419;26600
Flörsheim (Main) Bahnhof;8.430707;50.016962;26600
Mörfelden-Walldorf-Mörfelden Bahnhof;8.565371;49.979206;26400
Frankfurt (Main) Neu-Isenburg Stadtgrenze;8.695033;50.059948;26300
Dietzenbach Mitte Bahnhof;8.788202;50.017777;26100
Eppstein Bahnhof;8.387245;50.140088;25900
Frankfurt (Main) Schäfflestraße;8.734039;50.131211;25600
Marburg Hauptbahnhof;8.775084;50.819051;25600
Frankfurt (Main) Stresemannallee/Mörfelder Landstr;8.671269;50.089204;25300
Langenselbold Bahnhof;9.058365;50.162278;25200
Oberursel (Taunus)-Weißkirchen/Steinbach Bahnhof;8.587066;50.173833;24800
Frankfurt (Main) Alte Oper;8.670727;50.115529;24600
Frankfurt (Main) Zoo;8.698341;50.115546;24600
Frankfurt (Main) Friedberger Warte;8.698452;50.139512;24400
Eschborn-Niederhöchstadt Bahnhof;8.547098;50.154242;24400
Frankfurt (Main) Eschenheimer Tor;8.679262;50.117773;24400
Frankfurt (Main) Gravensteiner-Platz;8.69847;50.155269;24300
Bad Nauheim Bahnhof;8.748597;50.367949;23700
Frankfurt (Main) Fritz-Tarnow-Straße;8.668736;50.142695;23600
Frankfurt (Main) Glauburgstraße;8.685229;50.127381;23500
Gelnhausen Bahnhof;9.189365;50.196378;23500
Frankfurt (Main) Preungesheim;8.687804;50.158605;23400
Frankfurt (Main) Leipziger Straße;8.645701;50.122587;23300
Bad Homburg v.d.H.-Gonzenheim (U);8.639769;50.219178;23300
Friedrichsdorf Bahnhof;8.644127;50.252926;22900
Frankfurt (Main) Gwinnerstraße;8.741179;50.133765;22800
Frankfurt (Main) Hausener Weg;8.619649;50.131431;22700
Frankfurt (Main) Deutsche Nationalbibliothek;8.684006;50.131431;22600
Frankfurt (Main) Marktstraße/Landgraben;8.749718;50.154874;22500
Frankfurt (Main) Lindenbaum;8.661487;50.152586;22500
Niedernhausen Bahnhof;8.312798;50.160036;22500
Frankfurt (Main) Triftstraße;8.650189;50.086902;22100
Mörfelden-Walldorf-Walldorf Bahnhof;8.580427;50.001494;22000
Frankfurt (Main) Buchrainplatz;8.724087;50.100444;21800
Frankfurt (Main) Stresemannallee/Gartenstraße;8.668728;50.09894;21700
Frankfurt (Main) Gerauer Straße;8.644746;50.083652;21500
Groß-Gerau Dornberg Bahnhof;8.494705;49.911983;21400
Frankfurt (Main) Farbwerke;8.526792;50.097903;21300
Kronberg (Taunus) Bahnhof;8.517363;50.179644;21300
Frankfurt (Main) Dom/Römer;8.683905;50.110767;21200
Hanau-Steinheim (Main) Bahnhof;8.908036;50.121492;20700
Frankfurt (Main) Rheinlandstraße;8.581258;50.082422;20700
Frankfurt (Main) Kruppstraße;8.744528;50.137957;20500
Frankfurt (Main) Ginnheim Bahnhof;8.643062;50.14314;20000
Mainz, Römisches Theater;8.278187;49.993688;19700
Schwalbach (Taunus) Limes Bahnhof;8.527669;50.154465;19500
Idstein Bahnhof;8.257604;50.216463;19500
Frankfurt (Main) Heerstraße;8.608255;50.143496;19500
Mühlheim (Main)-Dietesheim S-Bahn;8.85951;50.120673;19400
Frankfurt (Main) Sternbrücke;8.621057;50.120995;19400
Frankfurt (Main) Mainkur Bahnhof;8.766971;50.133265;19400
Wöllstadt-Nieder-Wöllstadt Bahnhof;8.767573;50.280044;19300
Frankfurt (Main) Louisa Bahnhof;8.670712;50.083811;19100
Frankfurt (Main) Zuckschwerdtstraße;8.552507;50.103099;18600
Frankfurt (Main) Parlamentsplatz;8.713403;50.12001;18600
Frankfurt (Main) Flaschenburgstraße;8.730844;50.100475;18500
Fulda Bahnhof;9.683684;50.554933;18100
Oberursel (Taunus)-Stierstadt Bahnhof;8.584851;50.185496;18000
Frankfurt (Main) Waldschulstraße;8.603818;50.100146;17800
Dietzenbach Bahnhof;8.78391;50.009685;17700
Frankfurt (Main) Friedberger Platz;8.691667;50.123321;17600
Frankfurt (Main) DFB-Campus;8.651279;50.083281;17600
Frankfurt (Main) Hausen;8.62454;50.138623;17600
Frankfurt (Main) Schießhüttenstraße;8.772494;50.121468;17500
Rodgau-Jügesheim Bahnhof;8.879234;50.025882;17400
Frankfurt (Main) Sossenheim Bahnhof;8.556286;50.115156;17200
Frankfurt (Main) Friedensbrücke;;;16900
Frankfurt (Main) Berkersheim Bahnhof;8.697715;50.176661;16600
Frankfurt (Main) Hessen-Center;8.749046;50.140488;16500
Frankfurt (Main) H.-Hoffmann-Str./Blutspendedienst;8.652938;50.09246;16400
Frankfurt (Main) Ronneburgstraße;8.688316;50.150922;16400
Frankfurt (Main) Römerstadt;8.638128;50.153774;16200
Frankfurt (Main) Neumarkt;8.584473;50.107344;16100
Rodgau-Nieder-Roden Bahnhof;8.871467;49.997156;15900
Offenbach (Main)-Kaiserlei Kaiserlei;8.738492;50.105208;15800
Kelkheim (Taunus) Bahnhof;8.447699;50.137992;15700
Hanau Westbahnhof;8.910042;50.13235;15500
Wächtersbach Bahnhof;9.295792;50.254086;15500
Frankfurt (Main) Rohrbach/Friedberger Landstraße;8.692011;50.12666;15500
Rodgau-Dudenhofen Bahnhof;8.883855;50.011125;15300
Frankfurt (Main) Hauptbahnhof/Fernbusterminal;8.662583;50.10486;15100
Frankfurt (Main) Riedwiese/Mertonviertel;8.643068;50.171165;14700
Frankfurt (Main) Fischstein;8.624876;50.129337;14200
Frankfurt (Main) Matthias-Beltz-Platz;;;14200
Frankfurt (Main) Schwalbacher Straße;8.636408;50.102349;13900
Dietzenbach Steinberg Bahnhof;8.793178;50.02627;13900
Butzbach Bahnhof;8.670081;50.431063;13800
Frankfurt (Main) Baseler Platz;8.664773;50.10421;13700
Frankfurt (Main) Nied Kirche;8.566866;50.098332;13700
Frankfurt (Main) Sigmund-Freud-Straße;8.686187;50.155052;13500
Frankfurt (Main) Rebstöcker Straße;8.628636;50.101551;13500
Frankfurt (Main) Wiesenau;8.630232;50.166641;13000
Frankfurt (Main) Maastrichter Ring;8.627575;50.108276;13000
Frankfurt (Main) Große Nelkenstraße;8.628357;50.133032;12900
Frankfurt (Main) Schweizer-/Gartenstraße;8.679572;50.103172;12800
Hattersheim (Main)-Eddersheim Bahnhof;8.457852;50.040203;12600
Bad Homburg v.d.H.-Ober-Eschbach (U);8.65044;50.214965;12400
Frankfurt (Main) Bleiweißstraße;8.719458;50.100012;12400
Frankfurt (Main) Hauptfriedhof;8.684443;50.136778;12300
Frankfurt (Main) Mönchhofstraße;8.617537;50.10048;12300
Frankfurt (Main) Reifenberger Straße/Sozialzentrum;8.615283;50.128353;12300
Hochheim (Main) Bahnhof;8.350319;50.004471;12200
Frankfurt (Main) Carl-Sonnenschein-Straße;8.572171;50.123932;12200
Frankfurt (Main) Heddernheimer Landstraße;8.635061;50.163833;12000
Eppstein-Bremthal Bahnhof;8.364888;50.14063;11800
Hanau Wilhelmsbad Bahnhof;8.882885;50.144278;11700
Frankfurt (Main) Vogelweidstraße;8.66546;50.097707;11500
Sulzbach (Taunus) Nordbahnhof;8.516503;50.138858;11500
Rödermark-Urberach Bahnhof;8.799083;49.974748;11400
Frankfurt (Main) Adalbert-/Schloßstraße;8.644115;50.119208;11400
Frankfurt (Main) Feuerwehrstraße;8.69115;50.14394;11400
Frankfurt (Main) Frauenfriedenskirche;8.646509;50.128758;11400
Erzhausen Bahnhof;8.650522;49.950914;11200
Frankfurt (Main) Haardtwaldplatz;8.636506;50.086242;11100
Frankfurt (Main) Waldfriedhof Goldstein;8.603317;50.076852;11100
Seligenstadt Bahnhof;8.96765;50.041912;11000
Egelsbach Bahnhof;8.653672;49.968021;10900
Frankfurt (Main) Westerwaldstraße;8.569152;50.122918;10900
Rodgau-Weiskirchen Bahnhof;8.878795;50.05288;10800
Frankfurt (Main) Oppenheimer Landstraße;8.681396;50.095153;10700
Darmstadt Ostbahnhof;8.673186;49.874883;10600
Darmstadt-Arheilgen Bahnhof;8.645532;49.913743;10600
Frankfurt (Main) An der Dammheide;8.631073;50.117269;10500
Frankfurt (Main) Sossenheimer Kirchberg;8.566567;50.119668;10500
Frankfurt (Main) Niederräder Landstraße;8.651456;50.088667;10500
Frankfurt (Main) Platz der Republik;8.661088;50.108922;10400
Frankfurt (Main) Jägerallee;8.590595;50.100097;10400
Karben-Okarben Bahnhof;8.753598;50.253309;10400
Frankfurt (Main) Linnegraben;8.597336;50.100022;10100
Frankfurt (Main) Friedhof Höchst;8.548129;50.114594;9900
Frankfurt (Main) Flughafen Terminal 2;8.583465;50.052573;9900
Frankfurt (Main) Prüfling;8.706959;50.128407;9900
Riedstadt-Goddelau Bahnhof;8.4902;49.834339;9900
Kronberg (Taunus) Süd;8.528437;50.173742;9800
Oberursel (Taunus)-Weißkirchen Ost;8.60189;50.185703;9700
Hofheim am Taunus-Lorsbach Bahnhof;8.422948;50.115209;9700
Frankfurt (Main) Rathaus Nieder-Erlenbach;8.709006;50.203064;9600
Frankfurt (Main) Parkweg;8.615104;50.12187;9600
Rodgau-Hainhausen Bahnhof;8.875913;50.039792;9600
Frankfurt (Main) Kelsterbacher Weg;8.569903;50.086726;9600
Oberursel (Taunus) Altstadt;8.579098;50.205973;9600
Frankfurt (Main) Messeparkhaus;8.62136;50.107911;9600
Limburg (Lahn) Bahnhof;8.061662;50.383979;9500
Frankfurt (Main) Dunantring;8.556364;50.117687;9500
Frankfurt (Main) Miquel-/Hansaallee;8.668327;50.1316;9400
Langen (Hessen) Flugsicherung;8.658503;50.005274;9300
Frankfurt (Main) Sandelmühle;8.645048;50.166083;9200
Oberursel (Taunus) Glöcknerwiese;8.561423;50.213623;9200
Darmstadt Nordbahnhof;8.654438;49.891963;9200
Dieburg Bahnhof;8.840525;49.903485;9200
Frankfurt (Main) Bodenweg;8.701384;50.142143;9100
Sulzbach (Taunus) MTZ/Busbahnhof;8.525148;50.11893;9000
Frankfurt (Main) Lenzenbergstraße;8.505234;50.097032;9000
Frankfurt (Main) Kurhessenstraße;8.654509;50.144953;9000
Frankfurt (Main) Odenwaldstraße;8.642089;50.086494;8900
Bad Camberg Bahnhof;8.255363;50.296554;8900
Frankfurt (Main) Melibocusstraße;8.640059;50.081855;8900
Frankfurt (Main) Praunheimer Weg/Schulzentrum;8.622032;50.15753;8900
Frankfurt (Main) Alkmenestraße;8.699795;50.151765;8900
Frankfurt (Main) Römerhof;8.618475;50.107667;8800
Frankfurt (Main) Balduinstraße;8.714967;50.09943;8800
Wetzlar Bahnhof;8.504216;50.565663;8700
Frankfurt (Main) Am Neuenberg;8.688391;50.168119;8700
Frankfurt (Main) Europaviertel West;8.623823;50.107532;8600
Frankfurt (Main) Zentgrafenschule;8.726432;50.143924;8600
Frankfurt (Main) Kaiser-Sigmund-Straße;8.677776;50.14072;8600
Frankfurt (Main) Europagarten/Messe West;8.63656;50.108166;8500
Friedberg (Hessen)-Bruchenbrücken Bahnhof;8.788506;50.302252;8500
Nidderau-Windecken Bahnhof;8.875716;50.225018;8500
Frankfurt (Main) Wiener Straße;8.736746;50.100274;8400
Bickenbach Bahnhof;8.60378;49.760111;8400
Neu-Anspach-Anspach Bahnhof;8.514756;50.301366;8400
Bad Vilbel Alte Frankfurter Straße;8.729517;50.169211;8200
Mannheim, Hauptbahnhof;8.470161;49.479035;8200
Frankfurt (Main) Juliusstraße;8.646732;50.12544;8200
Frankfurt (Main) Kuhwaldstraße;8.640577;50.116877;8200
Frankfurt (Main) Westenbergerstraße;8.5167;50.080498;8100
Frankfurt (Main) Friedhof Sindlingen;8.510231;50.079829;8100
Frankfurt (Main) Ferdinand-Dirichs-Weg;8.588001;50.083033;8100
Frankfurt (Main) Neu-Zeilsheim;8.492588;50.097446;8100
Frankfurt (Main) Unterliederbach Bahnhof;8.5278;50.108467;8000
Frankfurt (Main) Börneplatz;8.687894;50.112394;8000
Offenbach (Main)-Westend Offenbach Stadtgrenze;8.745051;50.101972;7900
Reinheim (Odw.) Bahnhof;8.835268;49.82949;7900
Frankfurt (Main) Altebornstraße;8.723581;50.140979;7900
Frankfurt (Main) Güterplatz;8.65571;50.107404;7900
Frankfurt (Main) Tillystraße;8.560385;50.101495;7900
Frankfurt (Main) Universitätssportanlagen;8.645137;50.130762;7900
Frankfurt (Main) Theobald-Ziegler-Straße;8.690667;50.147898;7800
Frankfurt (Main) Varrentrappstraße;8.64715;50.115594;7800
Frankfurt (Main) Breslauer Straße;8.677424;50.093063;7800
Frankfurt (Main) Harthweg;8.59469;50.081016;7700
Darmstadt-Eberstadt Bahnhof;8.625689;49.8147;7700
Frankfurt (Main) Homburger Landstraße/Marbachweg;8.693576;50.144152;7600
Maintal-West Bahnhof;8.80579;50.141056;7600
Kelkheim (Taunus)-Hornau Bahnhof;8.445584;50.146994;7600
Frankfurt (Main) Hugo-Junkers-Straße;8.75386;50.12742;7600
Frankfurt (Main) Eschweger Straße;8.717219;50.13933;7500
Frankfurt (Main) Euckenstraße;8.539907;50.110345;7500
Frankfurt (Main) Frankensteiner Platz;8.692402;50.106343;7400
Königstein (Taunus) Bahnhof;8.468755;50.177996;7400
Frankfurt (Main) Ruhestein;8.59976;50.086184;7400
Frankfurt (Main) Platz der Einheit;8.653386;50.110798;7400
Frankfurt (Main) Rebstockbad;8.619374;50.113745;7300
Frankfurt (Main) Gymnasium Römerhof;8.609459;50.106653;7300
Frankfurt (Main) Alt-Fechenheim;8.767689;50.128319;7300
Frankfurt (Main) Habsburger-/Wittelsbacherallee;8.705249;50.120208;7200
Frankfurt (Main) Günthersburgpark;8.700016;50.12884;7200
Frankfurt (Main) Südfriedhof West;8.691178;50.091601;7100
Frankfurt (Main) Johanna-Tesch-Platz;8.726263;50.127823;7100
Aschaffenburg Hbf;9.143735;49.980418;7100
Frankfurt (Main) Thomas-Mann-Straße;8.615296;50.163361;7100
Frankfurt (Main) Wickerer Straße;8.622525;50.100961;7100
Kelkheim (Taunus)-Münster Bahnhof;8.461778;50.124866;7100
Frankfurt (Main) Schwedlerstraße;8.719374;50.113956;7000
Frankfurt (Main) Stephan-Heise-Straße;8.615083;50.136292;7000
Eltville (Rhein) Bahnhof;8.121597;50.027376;7000
Frankfurt (Main) Hessendenkmal;8.689511;50.119276;7000
Frankfurt (Main) Reinhardstraße;8.67301;50.149378;7000
Rodenbach (MKK) Bahnhof;9.012854;50.147254;6900
Oberursel (Taunus) Lahnstraße;8.571309;50.2099;6900
Frankfurt (Main) Kaiserkronenweg;8.680864;50.16551;6900
Frankfurt (Main) Römischer Ring;8.633131;50.108686;6800
Frankfurt (Main) Heusingerstraße;8.580462;50.106146;6800
Frankfurt (Main) Birsteiner Straße;8.76395;50.135675;6800
Frankfurt (Main) Birminghamstraße;8.579217;50.100183;6800
Oberursel (Taunus)-Bommersheim;8.593896;50.193244;6700
Frankfurt (Main) Sophienstraße;8.64104;50.127765;6700
Frankfurt (Main) Lufthansa Aviation Center;8.556564;50.04821;6700
Wiesbaden-Biebrich Bahnhof Wiesbaden Ost;8.256186;50.041213;6700
Darmstadt Südbahnhof;8.637423;49.854941;6700
Bad Soden-Salmünster Bahnhof;9.371418;50.28039;6700
Frankfurt (Main) Schwarzwaldstraße;8.646615;50.0868;6700
Frankfurt (Main) Cheruskerweg;8.541824;50.115472;6600
Darmstadt Luisenplatz;8.650989;49.872858;6600
Frankfurt (Main) Konrad-Duden-Weg;8.666639;50.190324;6600
Frankfurt (Main) Europaturm;8.653496;50.136208;6500
Frankfurt (Main) Günthersburgallee;8.696866;50.126984;6500
Frankfurt (Main) Atzelberg Mitte;8.719126;50.142099;6500
Schöneck-Kilianstädten Bahnhof;8.840424;50.201682;6500
Frankfurt (Main) Geisenheimer Straße;8.576111;50.088996;6400
Frankfurt (Main) Ostbahnhof/Sonnemannstraße;8.705179;50.111656;6400
Frankfurt (Main) Hostatostraße;8.54653;50.101799;6400
Frankfurt (Main) Otto-Hahn-Platz;8.675703;50.101759;6400
Frankfurt (Main) Platenstraße;8.664532;50.136468;6400
Frankfurt (Main) Uni Campus Westend;8.668371;50.124134;6300
Friedrichsdorf-Seulberg Bahnhof;8.646349;50.241593;6300
Dreieich-Sprendlingen Bahnhof;8.689194;50.015585;6300
Bensheim, Bahnhof;8.617269;49.681701;6200
Frankfurt (Main) Allesinastraße;8.512252;50.078218;6200
Schlüchtern Bahnhof;9.510085;50.340939;6100
Frankfurt (Main) Am Bonifatiusbrunnen;8.641286;50.17639;6100
Frankfurt (Main) Draisbornstraße;8.728764;50.145781;6100
Frankfurt (Main) Elisabethenstraße;8.687755;50.105857;6000
Ober-Ramstadt Bahnhof;8.743088;49.831889;6000
Frankfurt (Main) Johanna-Kirchner-AHZ;8.647059;50.097567;6000
Frankfurt (Main) Galluspark;8.637179;50.100238;5900
Frankfurt (Main) Karl-von-Drais-Straße;8.677806;50.149786;5900
Hanau Freiheitsplatz;8.91865;50.135216;5900
Frankfurt (Main) Waldau;8.610322;50.077006;5900
Frankfurt (Main) Ostbahnhof/Honsellstraße;8.708933;50.111274;5900
Hainburg Hainstadt Bahnhof;8.93849;50.077983;5900
Liederbach (Taunus)-Niederhofheim Liederbach Bf;8.485518;50.118878;5900
Darmstadt-Wixhausen Bahnhof;8.647727;49.930657;5900
Frankfurt (Main) Arthur-von-Weinberg-Steg;8.769827;50.12508;5900
Altenstadt Bahnhof;8.943958;50.283435;5800
Usingen Bahnhof;8.527644;50.330842;5800
Frankfurt (Main) Römer/Paulskirche;8.681804;50.111299;5700
Brechen-Niederbrechen Bahnhof;8.1609;50.359534;5700
Oberursel (Taunus)-Hohemark;8.537084;50.215421;5700
Frankfurt (Main) Comeniusstraße;8.706015;50.133544;5700
Eppstein-Niederjosbach Bahnhof;8.35071;50.150025;5700
Frankfurt (Main) Brücken-/Textorstraße;8.687025;50.101758;5600
Frankfurt (Main) Dürkheimer Straße;8.571018;50.09639;5600
Frankfurt (Main) Bingelsweg;8.603196;50.10105;5600
Frankfurt (Main) Julius-Brecht-Straße;8.681297;50.167799;5600
Frankfurt (Main) Saalburg-/Wittelsbacherallee;8.713025;50.124684;5600
Frankfurt (Main) Alleehaus;8.537553;50.112399;5500
Frankfurt (Main) Hans-Leistikow-Straße;8.619508;50.180195;5500
Frankfurt (Main) Rathaus Kalbach;8.639139;50.189235;5500
Frankfurt (Main) Bolongaropalast;8.553617;50.101829;5400
Frankfurt (Main) Wendelsplatz;8.691676;50.100555;5400
Frankfurt (Main) Franz-Werfel-Straße;8.659218;50.139098;5400
Frankfurt (Main) Dieselstraße;8.744822;50.12395;5400
Frankfurt (Main) Luthmerstraße;8.572836;50.099171;5400
Frankfurt (Main) Pfaffenwiese/Kolberger Weg;8.497251;50.096858;5300
Frankfurt (Main) Stadthalle Zeilsheim;8.501558;50.09707;5300
Frankfurt (Main) Lettigkautweg;8.703397;50.099853;5300
Dreieich-Weibelfeld Bahnhof;8.700896;50.007372;5300
Frankfurt (Main) Stefan-Zweig-Straße;8.655156;50.139814;5300
Frankfurt (Main) Schwanthalerstraße;8.681397;50.101006;5300
Frankfurt (Main) Rauenthaler Weg;8.570848;50.084162;5200
Oberursel (Taunus) Stadtmitte;8.585496;50.202627;5200
Frankfurt (Main) Ordnungsamt;8.633186;50.098662;5200
Frankfurt (Main) Lokalbahnhof/Textorstraße;8.689639;50.10267;5200
Frankfurt (Main) Friedhof Kurmainzer Straße;8.55151;50.109613;5100
Frankfurt (Main) Haus Gallus;8.643566;50.104951;5100
Frankfurt (Main) Schönhof;8.635613;50.124296;5100
Niederdorfelden Bahnhof;8.809069;50.193139;5100
Frankfurt (Main) Alt-Rödelheim;8.611781;50.12461;5100
Frankfurt (Main) Rothschildallee;8.694819;50.127914;5100
Wiesbaden-Schierstein Bahnhof;8.195398;50.047646;5100
Frankfurt (Main) Im Geeren;8.661326;50.162529;5100
Frankfurt (Main) Fliederweg;8.67332;50.166599;5000
Frankfurt (Main) Cassellastraße;8.759753;50.129728;5000
Frankfurt (Main) Michlersbrunnen;8.754799;50.155602;5000
Oberursel (Taunus) Kupferhammer;8.557378;50.214288;5000
Babenhausen Bahnhof;8.95698;49.958128;5000
Frankfurt (Main) Am Kapellenberg;8.561969;50.117052;5000
Frankfurt (Main) Osthafenplatz;8.714002;50.112113;4900
Frankfurt (Main) Beuthener Straße;8.674504;50.091471;4900
Frankfurt (Main) Silobad/Ballsporthalle;8.529726;50.101395;4900
Frankfurt (Main) Bergen Ost;8.767854;50.157256;4900
Liederbach (Taunus)-Oberliederbach Liederbach Süd;8.500933;50.115475;4900
Frankfurt (Main) Am Mühlgewann;8.610618;50.096581;4800
Frankfurt (Main) Oberforsthaus;8.654107;50.078936;4800
Frankfurt (Main) Alt-Praunheim/Krankenh. Nordwest;8.619368;50.149313;4800
Frankfurt (Main) Eppenhainer Straße;8.625968;50.104824;4800
Frankfurt (Main) Lauterbacher Straße;8.748666;50.132332;4800
Frankfurt (Main) Heinrich-Plett-Straße;8.68482;50.168353;4700
Mühltal-Nieder-Ramstadt Mühltal Bahnhof;8.703212;49.830844;4700
Frankfurt (Main) Dachsberg;8.693154;50.165327;4700
Frankfurt (Main) Hospital Zum Heiligen Geist;8.692726;50.110682;4700
Wiesbaden-Biebrich Bahnhof;8.237252;50.048379;4700
Frankfurt (Main) Wetzlarer Straße;8.69658;50.142515;4700
